Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
E Grove St,40.4780211,-88.9845311,Vrooman Mansion B & B,40.475992,-88.985428,Bed & Breakfast
E Grove St,40.4780211,-88.9845311,David Davis Mansion,40.481671878627985,-88.98430239297205,Historic Site
E Grove St,40.4780211,-88.9845311,Circle K,40.478107225124155,-88.98535130060586,Convenience Store
E Grove St,40.4780211,-88.9845311,Circle K,40.474377000000004,-88.98481,Convenience Store
E Grove St,40.4780211,-88.9845311,Franzetti's Pantry,40.479359245834466,-88.98452923568016,Convenience Store
E Grove St,40.4780211,-88.9845311,Dragon's Den - Flying Dragons Pole Vault Club,40.47621899570703,-88.98399201083615,Athletics & Sports
E Grove St,40.4780211,-88.9845311,First Edition,40.48006713634475,-88.98316587557414,Salon / Barbershop
E Grove St,40.4780211,-88.9845311,Coffee Hound 3,40.479647,-88.981606,Coffee Shop
E Grove St,40.4780211,-88.9845311,Gingerbread House,40.4788179,-88.98072409999999,Toy / Game Store
E Grove St,40.4780211,-88.9845311,Rob Knight's Swim America,40.48012878138296,-88.98793999001572,Gym Pool
E Grove St,40.4780211,-88.9845311,Urban Carnivore,40.477667,-88.980006,Pet Store
E Grove St,40.4780211,-88.9845311,Green Top Grocery,40.4796498240337,-88.98051258774322,Grocery Store
E Grove St,40.4780211,-88.9845311,Franklin Park,40.48167487188157,-88.98428528697471,Park
E Grove St,40.4780211,-88.9845311,Slick Rick's,40.4738655090332,-88.982666015625,Bar
Empire,40.48993660000001,-88.95726944372214,Ephesus,40.488741211892425,-88.96002660784252,Turkish Restaurant
Empire,40.48993660000001,-88.95726944372214,HomeGoods,40.490257201596414,-88.95604820482849,Furniture / Home Store
Empire,40.48993660000001,-88.95726944372214,Bandanas BBQ,40.488878369122844,-88.95512920312669,BBQ Joint
Empire,40.48993660000001,-88.95726944372214,Garden Of Paradise,40.48885840426251,-88.95901292640625,Greek Restaurant
Empire,40.48993660000001,-88.95726944372214,Michaels,40.49028010334334,-88.95816020084963,Arts & Crafts Store
Empire,40.48993660000001,-88.95726944372214,Victoria's Secret PINK,40.485839986227525,-88.95565154808754,Lingerie Store
Empire,40.48993660000001,-88.95726944372214,PetSmart,40.4907281,-88.9573173,Pet Store
Empire,40.48993660000001,-88.95726944372214,Orangetheory Fitness,40.490548,-88.957603,Gym
Empire,40.48993660000001,-88.95726944372214,Fiesta Ranchera,40.48942691480737,-88.95856244458228,Mexican Restaurant
Empire,40.48993660000001,-88.95726944372214,DSW Designer Shoe Warehouse,40.490849,-88.9579126,Shoe Store
Empire,40.48993660000001,-88.95726944372214,Kohl's,40.48814,-88.956322,Department Store
Empire,40.48993660000001,-88.95726944372214,Ulta Beauty,40.4865018,-88.9561389,Cosmetics Shop
Empire,40.48993660000001,-88.95726944372214,Bath & Body Works,40.48591154121579,-88.95626249816873,Cosmetics Shop
Empire,40.48993660000001,-88.95726944372214,Old Navy,40.48572157648835,-88.95618548307141,Clothing Store
Empire,40.48993660000001,-88.95726944372214,Outback Steakhouse,40.485811532731994,-88.95588156373,Steakhouse
Empire,40.48993660000001,-88.95726944372214,Outback Steakhouse,40.48766,-88.953837,Steakhouse
Empire,40.48993660000001,-88.95726944372214,GAP,40.48604113408612,-88.95612494808334,Clothing Store
Empire,40.48993660000001,-88.95726944372214,Gloria Jean's Coffees,40.485941546417074,-88.95602913524293,Coffee Shop
Empire,40.48993660000001,-88.95726944372214,American Eagle Store,40.48580037882715,-88.95596933147145,Clothing Store
Empire,40.48993660000001,-88.95726944372214,H&M,40.48594896534202,-88.95545099861921,Clothing Store
Empire,40.48993660000001,-88.95726944372214,Ashley HomeStore,40.490826,-88.958104,Furniture / Home Store
Empire,40.48993660000001,-88.95726944372214,GameStop,40.48545473888054,-88.9572187645861,Video Game Store
Empire,40.48993660000001,-88.95726944372214,Aéropostale,40.48591581445345,-88.95679550223593,Clothing Store
Empire,40.48993660000001,-88.95726944372214,Pac Sun,40.485865742519124,-88.95640871952082,Clothing Store
Empire,40.48993660000001,-88.95726944372214,Five Below,40.4905557,-88.9556921,Discount Store
Empire,40.48993660000001,-88.95726944372214,Kay Jewelers,40.485718673936375,-88.95605938007171,Jewelry Store
Empire,40.48993660000001,-88.95726944372214,Buckle,40.48601138757034,-88.95646453828982,Clothing Store
Empire,40.48993660000001,-88.95726944372214,FYE,40.4857741,-88.9553604,Miscellaneous Shop
Empire,40.48993660000001,-88.95726944372214,DICK'S Sporting Goods,40.49058033955781,-88.9566069439033,Sporting Goods Shop
Empire,40.48993660000001,-88.95726944372214,Lids,40.485923,-88.95654225,Accessories Store
Empire,40.48993660000001,-88.95726944372214,Journeys,40.48599427619874,-88.9561308231242,Shoe Store
Empire,40.48993660000001,-88.95726944372214,Lids,40.48583859481864,-88.95680397506403,Accessories Store
Empire,40.48993660000001,-88.95726944372214,GNC,40.485797999999996,-88.95612,Supplement Shop
